index,Date,Open,High,Low,Close,volume,oi
538,2018-04-25,24993.4,24993.4,24734.6,24814.4,0,0
539,2018-04-26,24833.2,25064.0,24753.4,25010.9,0,0
540,2018-04-27,25030.15,25441.5,25029.65,25394.6,0,0
541,2018-04-30,25490.15,25617.5,25464.8,25531.6,0,0
542,2018-05-02,25607.05,25716.75,25499.35,25568.3,0,0
543,2018-05-03,25547.9,25653.45,25469.05,25605.25,0,0
544,2018-05-04,25632.3,25680.4,25537.7,25645.4,0,0
545,2018-05-07,25676.25,25913.5,25675.15,25852.05,0,0
546,2018-05-08,26074.15,26116.25,25954.6,26090.5,0,0
547,2018-05-09,25988.1,26206.5,25946.3,26154.45,0,0
548,2018-05-10,26216.1,26266.4,26057.2,26131.0,0,0
549,2018-05-11,26173.7,26437.25,26099.85,26413.15,0,0
550,2018-05-14,26404.45,26565.4,26338.05,26475.15,0,0
551,2018-05-15,26494.9,26972.05,26407.3,26474.0,0,0
552,2018-05-16,26269.35,26428.35,26102.15,26182.15,0,0
553,2018-05-17,26233.2,26283.55,26012.0,26073.8,0,0
554,2018-05-18,26025.6,26032.0,25839.0,25875.6,0,0
555,2018-05-21,26017.5,26066.75,25685.35,25750.8,0,0
556,2018-05-22,25780.25,25945.65,25701.35,25777.7,0,0
557,2018-05-23,25726.95,25903.9,25622.15,25684.95,0,0
558,2018-05-24,25722.9,26073.1,25658.4,26016.8,0,0
559,2018-05-25,26066.75,26325.55,26031.45,26273.55,0,0
560,2018-05-28,26291.65,26713.65,26273.9,26614.25,0,0
561,2018-05-29,26567.25,26570.95,26221.1,26254.8,0,0
562,2018-05-30,26039.9,26405.45,25980.85,26327.8,0,0
563,2018-05-31,26587.0,27164.55,26354.55,26956.2,0,0
564,2018-06-01,26913.4,26996.8,26658.55,26692.8,0,0
565,2018-06-04,27023.7,27047.55,26205.9,26257.55,0,0
566,2018-06-05,26263.0,26342.4,26069.55,26251.0,0,0
567,2018-06-06,26266.9,26425.2,26147.8,26367.6,0,0
