Date,Open,High,Low,Close,Volume
2019-01-17,520.2,521.8,513.6,515.65,16473518
2019-01-18,522.15,540.9,516.05,538.35,56505112
2019-01-21,542.7,563.6,540.3,562.6,48484774
2019-01-22,560.35,566.8,554.4,561.4,36416202
2019-01-23,560.6,565.55,555.45,557.4,19424904
2019-01-24,556.85,569.65,554.6,567.05,28941408
2019-01-25,568.4,574.85,561.55,566.4,18811840
2019-01-28,568.4,570.9,555.65,558.9,18852384
2019-01-29,559.55,559.85,546.1,550.3,20523506
2019-01-30,552.3,556.85,541.4,543.5,17263268
2019-01-31,546.4,558.95,545.9,557.8,22407764
2019-02-01,560.9,570.45,557.75,568.15,20303724
2019-02-04,566.85,589.55,564.6,586.8,25675254
2019-02-05,587.3,592.9,581.2,587.1,20597294
2019-02-06,589.2,598.9,588.3,595.6,20705488
2019-02-07,595.6,600.55,584.6,586.55,20266900
2019-02-08,584.0,591.1,578.3,580.8,14312104
2019-02-11,579.95,580.0,568.6,569.65,16552798
2019-02-12,568.9,578.35,568.9,571.1,14078868
2019-02-13,573.15,579.1,561.7,566.35,15320892
2019-02-14,564.1,564.1,553.6,556.45,14580192
2019-02-15,558.95,568.15,551.85,565.65,21115514
2019-02-18,568.15,569.35,552.3,554.6,21227838
2019-02-19,553.6,563.5,550.55,552.8,13737216
2019-02-20,556.3,563.6,554.1,561.1,13855994
2019-02-21,561.85,571.7,558.8,566.8,23276392
2019-02-22,565.7,566.05,557.3,560.15,19262904
2019-02-25,561.85,565.0,554.85,560.15,17275562
2019-02-26,549.8,561.3,548.15,554.65,22288310
2019-02-27,558.2,565.9,549.55,556.1,24449000
2019-02-28,560.8,563.6,557.55,559.6,24831216
2019-03-01,562.3,564.7,555.6,557.3,17429528
2019-03-05,556.1,563.55,553.9,562.55,15667320
2019-03-06,563.55,578.7,561.4,574.9,26484108
2019-03-07,574.55,581.7,571.9,577.35,17840370
2019-03-08,575.45,579.3,573.6,575.95,13288114
2019-03-11,577.3,596.4,576.4,592.8,21381448
2019-03-12,598.6,606.4,597.35,605.15,24703220
2019-03-13,607.7,618.15,603.7,612.4,24719306
